maneuver_id,language,label,file
straight,nl,Rechtdoor,png/nl/straight.png
follow_route,nl,Volg de route,png/nl/follow_route.png
slight_left,nl,Licht links,png/nl/slight_left.png
slight_right,nl,Licht rechts,png/nl/slight_right.png
turn_left,nl,Linksaf,png/nl/turn_left.png
turn_right,nl,Rechtsaf,png/nl/turn_right.png
sharp_left,nl,Scherp links,png/nl/sharp_left.png
sharp_right,nl,Scherp rechts,png/nl/sharp_right.png
uturn_left,nl,U-turn links,png/nl/uturn_left.png
uturn_right,nl,U-turn rechts,png/nl/uturn_right.png
roundabout,nl,Rotonde,png/nl/roundabout.png
roundabout_exit_1,nl,Neem de 1e afslag,png/nl/roundabout_exit_1.png
roundabout_exit_2,nl,Neem de 2e afslag,png/nl/roundabout_exit_2.png
roundabout_exit_3,nl,Neem de 3e afslag,png/nl/roundabout_exit_3.png
roundabout_exit_4,nl,Neem de 4e afslag / (keer om),png/nl/roundabout_exit_4.png
fork_left,nl,Splitsing links,png/nl/fork_left.png
fork_straight,nl,Rechtdoor,png/nl/fork_straight.png
fork_right,nl,Splitsing rechts,png/nl/fork_right.png
t_left,nl,Linksaf,png/nl/t_left.png
t_straight,nl,Rechtdoor,png/nl/t_straight.png
t_right,nl,Rechtsaf,png/nl/t_right.png
merge_left,nl,Voeg links in,png/nl/merge_left.png
merge_straight,nl,Voeg rechtdoor in,png/nl/merge_straight.png
merge_right,nl,Voeg rechts in,png/nl/merge_right.png
ramp_left,nl,Oprit links,png/nl/ramp_left.png
ramp_right,nl,Oprit rechts,png/nl/ramp_right.png
exit_left,nl,Afrit links,png/nl/exit_left.png
exit_right,nl,Afrit rechts,png/nl/exit_right.png
keep_left,nl,Blijf links,png/nl/keep_left.png
keep_right,nl,Blijf rechts,png/nl/keep_right.png
road_end,nl,Einde weg,png/nl/road_end.png
destination_ahead,nl,Aankomst bestemming,png/nl/destination_ahead.png
destination_reached,nl,Bestemming bereikt,png/nl/destination_reached.png
departure,nl,Vertrek,png/nl/departure.png
straight,en,Continue straight,png/en/straight.png
follow_route,en,Follow the route,png/en/follow_route.png
slight_left,en,Slight left,png/en/slight_left.png
slight_right,en,Slight right,png/en/slight_right.png
turn_left,en,Turn left,png/en/turn_left.png
turn_right,en,Turn right,png/en/turn_right.png
sharp_left,en,Sharp left,png/en/sharp_left.png
sharp_right,en,Sharp right,png/en/sharp_right.png
uturn_left,en,U-turn left,png/en/uturn_left.png
uturn_right,en,U-turn right,png/en/uturn_right.png
roundabout,en,Roundabout,png/en/roundabout.png
roundabout_exit_1,en,Take the 1st exit,png/en/roundabout_exit_1.png
roundabout_exit_2,en,Take the 2nd exit,png/en/roundabout_exit_2.png
roundabout_exit_3,en,Take the 3rd exit,png/en/roundabout_exit_3.png
roundabout_exit_4,en,Take the 4th exit / (turn around),png/en/roundabout_exit_4.png
fork_left,en,Fork left,png/en/fork_left.png
